LSOA21CD,LSOA21NM,Business (public transport),Education (public transport),Healthcare (public transport),Leisure and Community (public transport),Shopping (public transport),Residential (public transport),Overall (public transport)
E01011357,Leeds 038C,73.81,82.38,83.9,79.05,86.89,73.79,80.15
E01011358,Leeds 042B,72.84,79.43,82.76,76.45,84.73,72.77,78.27
E01011359,Leeds 042C,72.37,80.27,84.21,76.71,90.14,72.44,79.71
E01011360,Leeds 042D,74.71,86.59,86.26,82.16,90.21,75.08,82.66
E01011361,Leeds 042E,74.27,86.54,88.66,81.38,91.69,74.5,82.81
E01011362,Leeds 081A,74.91,73.73,75.65,76.85,86.56,74.72,78.36
E01011363,Leeds 071E,76.34,75.25,80.94,79.58,87.03,76.54,79.96
E01011364,Leeds 085A,75.38,82.15,78.35,82.54,88.66,74.74,81.45
E01011366,Leeds 082A,75.39,74.71,75.24,79.9,84.68,74.86,78.67
E01011368,Leeds 082C,75.62,78.27,78.88,82.39,87.61,75.06,80.63
E01011369,Leeds 090E,73.21,74.1,71.13,73.92,80.09,72.04,75.41
E01011370,Leeds 082D,74.03,77.3,77.67,80.04,89.69,73.07,79.92
E01011371,Leeds 085B,75.85,84.78,79.32,84.01,93.23,75.44,83.52
E01011372,Leeds 086C,74.9,83.5,79.92,82.84,95.68,74.37,83.39
E01011373,Leeds 085C,74.7,81.35,80.23,82.94,93.05,74.04,82.29
E01011374,Leeds 085D,75.24,82.87,78.54,82.83,94.01,74.81,82.94
E01011375,Leeds 086D,74.25,81.4,78.87,81.09,93.77,73.49,81.96
E01011376,Leeds 013A,63.13,64.32,47.64,51.25,59.57,63.15,60.29
E01011377,Leeds 013B,65.26,74.14,57.77,58.02,69,65.34,66.61
E01011378,Leeds 013C,65.48,77.14,64.67,61.18,71.34,65.88,68.59
E01011379,Leeds 017A,66.55,79.43,67.27,63.6,74.28,66.98,70.61
E01011380,Leeds 016A,63.88,69.47,55.76,57.45,61.09,65.12,63.22
E01011381,Leeds 016B,65.35,72.97,61.53,63.27,71.89,66.44,68.24
E01011382,Leeds 013D,67.25,69.32,53.45,57.13,69.5,67.01,66.37
E01011383,Leeds 019A,65.79,78.35,66.86,64.68,74.73,66.49,70.43
E01011384,Leeds 017B,67.21,74.07,59.19,59.48,71.29,66.98,68.2
E01011385,Leeds 016C,64.36,72.29,57.53,57.99,59.63,65.81,63.68
E01011386,Leeds 016D,65.87,72.18,59.69,64.01,72.4,66.95,68.48
E01011388,Leeds 019B,66.86,74.8,63.19,60.69,70.92,67.15,68.48
E01011390,Leeds 087A,61.05,57.75,51.79,54.73,63.97,61.92,60.27
E01011391,Leeds 087B,61.51,57.05,51.8,53.95,63.04,61.86,59.93
E01011392,Leeds 087C,55.91,63.52,48.62,56.88,58.68,57.8,58.21
