LSOA21CD,LSOA21NM,nearest_any_core_bus_network_m,calls_per_active_stop_per_hour_core_06_22,unique_lines_core_06_22,walking_access_percentile,service_frequency_percentile,route_availability_percentile,ptal_inspired_score
E01011485,Leeds 033B,260.628776162574,4.671875,8,49.4866529774127,80.1848049281314,80.9034907597536,70.1916495550993
E01011488,Leeds 045C,350.790597158333,4.2375,5,34.4969199178645,76.3860369609856,56.6735112936345,55.8521560574949
E01011489,Leeds 045D,182.564749078992,4.90625,4,68.3778234086242,81.1088295687885,44.2505133470226,64.5790554414785
E01011491,Leeds 101A,137.380491655171,2.41666666666667,1,79.6714579055442,46.611909650924,5.74948665297741,44.0109514031485
E01011492,Leeds 101B,15.3718020220723,3.66477272727273,6,99.5893223819302,66.735112936345,67.7618069815195,78.0287474332649
E01011493,Leeds 101C,302.469998208886,3.90178571428571,12,42.299794661191,72.0739219712526,93.3264887063655,69.233401779603
E01011494,Leeds 101D,278.791525455684,4.484375,9,46.2012320328542,78.4394250513347,85.8316221765914,70.1574264202601
E01011496,Leeds 100A,169.713295213089,3.42307692307692,6,71.2525667351129,63.6550308008214,67.7618069815195,67.5564681724846
E01011497,Leeds 101E,462.53102043954,3.80208333333333,6,21.1498973305955,70.0205338809035,67.7618069815195,52.9774127310062
E01011500,Leeds 105D,94.8456299305876,2.22265625,1,88.5010266940452,41.2731006160164,5.74948665297741,45.1745379876797
E01011502,Leeds 099C,406.367725054577,1.01388888888889,4,26.694045174538,13.1416837782341,44.2505133470226,28.0287474332649
E01011504,Leeds 032A,238.572220814998,1.99305555555556,2,54.0041067761807,36.1396303901437,14.5790554414784,34.9075975359343
E01011505,Leeds 025A,207.021754430376,0.965,5,60.9856262833676,10.8829568788501,56.6735112936345,42.8473648186174
E01011506,Leeds 025B,209.955387741675,2.375,3,60.5749486652977,44.9691991786448,29.2607802874743,44.9349760438056
E01011507,Leeds 025C,304.09007624834,1.90625,4,42.0944558521561,34.2915811088296,44.2505133470226,40.2121834360027
E01011508,Leeds 024A,190.784799901372,2.09375,3,64.2710472279261,38.6036960985626,29.2607802874743,44.0451745379877
E01011509,Leeds 023A,121.273757046829,1.65625,3,83.3675564681725,27.9260780287474,29.2607802874743,46.8514715947981
E01011510,Leeds 025D,157.776769556118,2.11875,5,74.7433264887064,39.2197125256674,56.6735112936345,56.8788501026694
E01011511,Leeds 023B,253.743516556065,3.79166666666667,4,50.7186858316222,69.4045174537988,44.2505133470226,54.7912388774812
