id,opportunity,percentile,cutoff,accessibility
E01011468,jobs,50,45,201050
E01011468,jobs,50,60,368850
E01011469,jobs,50,30,10575
E01011469,jobs,50,45,110600
E01011469,jobs,50,60,280585
E01011470,jobs,50,30,15200
E01011470,jobs,50,45,61900
E01011470,jobs,50,60,225760
E01011471,jobs,50,30,38025
E01011471,jobs,50,45,121085
E01011471,jobs,50,60,291325
E01011472,jobs,50,30,33025
E01011472,jobs,50,45,120785
E01011472,jobs,50,60,286800
E01011473,jobs,50,30,6325
E01011473,jobs,50,45,68385
E01011473,jobs,50,60,260750
E01011474,jobs,50,30,13385
E01011474,jobs,50,45,176960
E01011474,jobs,50,60,303655
E01011475,jobs,50,30,7360
E01011475,jobs,50,45,69485
E01011475,jobs,50,60,275900
E01011476,jobs,50,30,7360
E01011476,jobs,50,45,69485
E01011476,jobs,50,60,271025
E01011477,jobs,50,30,50145
E01011477,jobs,50,45,242660
E01011477,jobs,50,60,358910
E01011478,jobs,50,30,88020
E01011478,jobs,50,45,245110
E01011478,jobs,50,60,372005
E01011479,jobs,50,30,61795
E01011479,jobs,50,45,196585
E01011479,jobs,50,60,337460
E01011480,jobs,50,30,48695
E01011480,jobs,50,45,215210
E01011480,jobs,50,60,356885
E01011481,jobs,50,30,111945
E01011481,jobs,50,45,263410
E01011481,jobs,50,60,397305
E01011482,jobs,50,30,128980
E01011482,jobs,50,45,290935
E01011482,jobs,50,60,409925
E01011483,jobs,50,30,129830
E01011483,jobs,50,45,293585
E01011483,jobs,50,60,416115
E01011484,jobs,50,30,2325
E01011484,jobs,50,45,32020
E01011484,jobs,50,60,148590
E01011485,jobs,50,30,12425
E01011485,jobs,50,45,174345
E01011485,jobs,50,60,305120
E01011488,jobs,50,30,48400
E01011488,jobs,50,45,209260
E01011488,jobs,50,60,353410
E01011489,jobs,50,30,21045
E01011489,jobs,50,45,128695
E01011489,jobs,50,60,283090
E01011491,jobs,50,30,11100
E01011491,jobs,50,45,79315
E01011491,jobs,50,60,270340
E01011492,jobs,50,30,4625
E01011492,jobs,50,45,46565
E01011492,jobs,50,60,169475
E01011493,jobs,50,30,7500
E01011493,jobs,50,45,71240
E01011493,jobs,50,60,247840
E01011494,jobs,50,30,9150
E01011494,jobs,50,45,82715
E01011494,jobs,50,60,257700
E01011496,jobs,50,30,1100
E01011496,jobs,50,45,17525
E01011496,jobs,50,60,133810
E01011497,jobs,50,30,6475
E01011497,jobs,50,45,65865
E01011497,jobs,50,60,246225
E01011500,jobs,50,30,3950
E01011500,jobs,50,45,40925
E01011500,jobs,50,60,153935
E01011502,jobs,50,30,1600
E01011502,jobs,50,45,38975
E01011502,jobs,50,60,186810
E01011504,jobs,50,30,6150
E01011504,jobs,50,45,84775
E01011504,jobs,50,60,209890
E01011505,jobs,50,30,3125
E01011505,jobs,50,45,70145
E01011505,jobs,50,60,220745
E01011506,jobs,50,30,7770
E01011506,jobs,50,45,133045
E01011506,jobs,50,60,280670
E01011507,jobs,50,30,16670
E01011507,jobs,50,45,180555
E01011507,jobs,50,60,326785
E01011508,jobs,50,30,12250
E01011508,jobs,50,45,101700
E01011508,jobs,50,60,230540
E01011509,jobs,50,30,10525
E01011509,jobs,50,45,75145
E01011509,jobs,50,60,212090
E01011510,jobs,50,30,5425
E01011510,jobs,50,45,65520
E01011510,jobs,50,60,221245
E01011511,jobs,50,30,11850
E01011511,jobs,50,45,102600
E01011511,jobs,50,60,230340
E01011512,jobs,50,30,13545
E01011512,jobs,50,45,147570
E01011512,jobs,50,60,286120
E01011513,jobs,50,30,2425
E01011513,jobs,50,45,5825
E01011513,jobs,50,60,64470
E01011514,jobs,50,30,14145
E01011514,jobs,50,45,149045
E01011514,jobs,50,60,294420
E01011515,jobs,50,30,13445
E01011515,jobs,50,45,148720
E01011515,jobs,50,60,291920
E01011516,jobs,50,30,12600
E01011516,jobs,50,45,114925
E01011516,jobs,50,60,277395
E01011517,jobs,50,30,2550
E01011517,jobs,50,45,16650
E01011517,jobs,50,60,138895
E01011518,jobs,50,30,52625
E01011518,jobs,50,45,202015
E01011518,jobs,50,60,349585
E01011519,jobs,50,30,3300
E01011519,jobs,50,45,21300
E01011519,jobs,50,60,114180
E01011520,jobs,50,30,225
E01011520,jobs,50,45,4250
E01011520,jobs,50,60,35580
