LSOA21CD,LSOA21NM,dft_business_raw,dft_overall_raw,ptal_inspired_raw,cumulative_30min_raw,cumulative_45min_raw,cumulative_60min_raw,dft_business_percentile,ptal_inspired_percentile,cumulative_45min_percentile,dft_overall_percentile,cumulative_30min_percentile,cumulative_60min_percentile,gap_dft_minus_ptal,gap_dft_minus_cumulative,gap_ptal_minus_cumulative,three_method_range
E01011321,Leeds 090D,72.79,77.05,75.6331279945243,20390,143590,310395,75.8726899383984,86.2422997946612,71.4579055441479,69.1991786447639,74.1273100616017,73.5112936344969,-10.3696098562628,4.4147843942505,14.7843942505133,14.7843942505133
E01011322,Leeds 091E,72.05,74.69,70.9787816563997,13440,136890,292325,70.4312114989733,80.6981519507187,70.2258726899384,57.0841889117043,65.0924024640657,68.993839835729,-10.2669404517454,0.205338809034913,10.4722792607803,10.4722792607803
E01011323,Leeds 051A,71.34,76.17,66.7008898015058,5700,45700,288685,65.7084188911704,75.0513347022587,49.6919917864476,64.2710472279261,41.4784394250513,67.1457905544148,-9.3429158110883,16.0164271047228,25.3593429158111,25.3593429158111
E01011324,Leeds 046A,71.96,73.96,60.9514031485284,6350,138020,321070,70.0205338809035,67.7618069815195,70.6365503080082,52.7720739219713,44.558521560575,75.9753593429158,2.25872689938397,-0.616016427104725,-2.8747433264887,2.8747433264887
E01011325,Leeds 046B,70.49,71.77,30.082135523614,2325,12850,160745,58.9322381930185,19.5071868583162,22.5872689938398,39.8357289527721,25.1540041067762,41.0677618069815,39.4250513347023,36.3449691991786,-3.08008213552361,39.4250513347023
E01011326,Leeds 046C,71.8,73.83,49.6235455167693,9700,133170,276535,68.8911704312115,50.3080082135524,69.4045174537988,51.2320328542095,56.776180698152,63.2443531827515,18.5831622176591,-0.513347022587283,-19.0965092402464,19.0965092402464
E01011327,Leeds 052A,68.16,70.81,35.7631759069131,275,4325,24915,38.1930184804928,26.2833675564682,11.2936344969199,35.4209445585216,6.57084188911704,15.1950718685832,11.9096509240246,26.8993839835729,14.9897330595483,26.8993839835729
E01011328,Leeds 052B,69.12,74.23,55.9206023271732,9800,39440,244995,45.5852156057495,61.8069815195072,47.4332648870637,54.6201232032854,57.3921971252567,55.2361396303902,-16.2217659137577,-1.84804928131417,14.3737166324435,16.2217659137577
E01011329,Leeds 051B,70.32,74.51,66.7008898015058,4625,32080,208615,57.5975359342916,75.0513347022587,42.9158110882957,56.4681724845996,37.1663244353183,48.4599589322382,-17.4537987679672,14.6817248459959,32.135523613963,32.135523613963
E01011330,Leeds 051C,69.58,72.07,54.4147843942505,875,22240,155930,50.9240246406571,58.5215605749487,35.7289527720739,41.3757700205339,14.9897330595483,40.041067761807,-7.59753593429158,15.1950718685832,22.7926078028747,22.7926078028747
E01011331,Leeds 058A,72.7,78.9,66.1533196440794,4800,46170,294860,75.1540041067762,73.7166324435318,49.8973305954826,76.7967145790555,38.6036960985626,69.8151950718686,1.43737166324436,25.2566735112936,23.8193018480493,25.2566735112936
E01011332,Leeds 046D,71.36,74.49,41.9917864476386,4150,30995,225060,65.9137577002053,37.3716632443532,42.0944558521561,56.0574948665298,35.4209445585216,51.7453798767967,28.5420944558522,23.8193018480493,-4.72279260780288,28.5420944558522
E01011333,Leeds 051D,70.04,75.23,44.9691991786448,7000,35345,268685,56.1601642710472,43.3264887063655,44.9691991786448,58.9322381930185,47.4332648870637,61.6016427104723,12.8336755646817,11.1909650924025,-1.64271047227926,12.8336755646817
E01011334,Leeds 058B,74.04,78.77,43.668720054757,14750,79370,299110,85.8316221765914,40.6570841889117,59.5482546201232,76.3860369609856,67.7618069815195,70.8418891170431,45.1745379876797,26.2833675564682,-18.8911704312115,45.1745379876797
E01011335,Leeds 052C,71.09,77.25,54.3805612594114,13040,36030,263890,63.6550308008214,58.3162217659138,45.3798767967146,71.5605749486653,64.476386036961,60.1642710472279,5.3388090349076,18.2751540041068,12.9363449691992,18.2751540041068
E01011336,Leeds 058C,73.02,78.95,73.1690622861054,6375,76170,298285,78.2340862422998,82.6488706365503,58.9322381930185,77.4127310061602,44.8665297741273,70.6365503080082,-4.41478439425052,19.3018480492813,23.7166324435318,23.7166324435318
E01011337,Leeds 058D,72.96,76.92,41.5126625598905,10675,64365,267570,77.82340862423,36.5503080082136,54.2094455852156,68.5831622176591,59.5482546201232,61.1909650924025,41.2731006160164,23.6139630390144,-17.6591375770021,41.2731006160164
E01011338,Leeds 064A,77.06,85.35,78.6447638603696,172900,330785,406770,98.3572895277207,88.911704312115,98.9733059548255,98.7679671457906,98.3572895277207,97.741273100616,9.44558521560575,-0.616016427104725,-10.0616016427105,10.0616016427105
E01011339,Leeds 060A,70.44,74.86,76.0438056125941,32150,209505,333180,58.3162217659138,86.4476386036961,80.2874743326489,58.2135523613963,77.6180698151951,78.8501026694045,-28.1314168377823,-21.9712525667351,6.16016427104722,28.1314168377823
E01011340,Leeds 060B,73.21,80.48,64.476386036961,16000,83945,255205,79.7741273100616,72.3819301848049,60.5749486652977,85.0102669404518,70.0205338809035,57.0841889117043,7.39219712525667,19.1991786447639,11.8069815195072,19.1991786447639
E01011341,Leeds 061A,72.75,77.19,73.4770704996578,58800,182085,325080,75.564681724846,83.7782340862423,78.2340862422998,71.047227926078,82.7515400410678,77.0020533880904,-8.2135523613963,-2.6694045174538,5.5441478439425,8.2135523613963
